"","I","II","III","IV","p","test"
"n","141","139","134","41","",""
"BMI (median [IQR])","26.45 [23.20, 30.19]","26.70 [23.22, 30.86]","25.90 [22.92, 30.01]","24.98 [20.85, 28.90]","0.412","nonnorm"
"Age (median [IQR])","64.72 [58.06, 70.21]","62.97 [57.97, 70.23]","65.19 [58.07, 70.90]","59.32 [54.42, 66.55]","0.059","nonnorm"
"Sex = Male (%)","49 (34.8)","49 (35.3)","58 (43.3)","21 (51.2)","0.139",""
"Stage (%)","","","","","<0.001",""
"   I","141 (100.0)","0 (0.0)","0 (0.0)","0 (0.0)","",""
"   II","0 (0.0)","139 (100.0)","0 (0.0)","0 (0.0)","",""
"   III","0 (0.0)","0 (0.0)","134 (100.0)","0 (0.0)","",""
"   IV","0 (0.0)","0 (0.0)","0 (0.0)","41 (100.0)","",""
"Histology = Adenocarcinoma (%)","141 (100.0)","139 (100.0)","134 (100.0)","41 (100.0)","NA",""
"Primary_Met = Metastatic (%)","0 (0.0)","4 (2.9)","4 (3.0)","6 (14.6)","<0.001",""
"status_f = Death (%)","45 (31.9)","45 (32.4)","54 (40.3)","22 (53.7)","0.039",""
"diagsurvtime (median [IQR])","3.96 [1.79, 6.33]","3.28 [1.63, 5.54]","2.86 [1.58, 4.43]","3.52 [1.48, 4.59]","0.158","nonnorm"
"SmokingStatus (%)","","","","","0.245",""
"   Never","27 (20.5)","19 (14.3)","35 (26.7)","7 (17.5)","",""
"   Former/Ever","74 (56.1)","80 (60.2)","74 (56.5)","23 (57.5)","",""
"   Current","24 (18.2)","27 (20.3)","19 (14.5)","10 (25.0)","",""
"   Unknown","7 (5.3)","7 (5.3)","3 (2.3)","0 (0.0)","",""
"CAlevel = High (%)","28 (19.9)","28 (20.1)","35 (26.1)","17 (41.5)","0.021",""
"ever_Chemo = TRUE (%)","67 (47.5)","93 (66.9)","97 (72.4)","24 (58.5)","<0.001",""
"ever_IO = TRUE (%)","22 (15.6)","20 (14.4)","27 (20.1)","16 (39.0)","0.003",""
"ever_Chemo_IO = TRUE (%)","18 (12.8)","17 (12.2)","22 (16.4)","12 (29.3)","0.045",""
"concurrent_Chemo_IO = TRUE (%)","11 (7.8)","9 (6.5)","15 (11.2)","8 (19.5)","0.065",""
"ever_Rad = TRUE (%)","55 (39.0)","40 (28.8)","59 (44.0)","15 (36.6)","0.069",""
"ever_Chemo_Rad = TRUE (%)","33 (23.4)","19 (13.7)","42 (31.3)","6 (14.6)","0.003",""
"concurrent_Chemo_rad = TRUE (%)","19 (13.5)","9 (6.5)","15 (11.2)","2 (4.9)","0.153",""
"ever_Target = TRUE (%)","1 (0.7)","3 (2.2)","2 (1.5)","2 (4.9)","0.335",""
"ever_SM = TRUE (%)","16 (11.3)","18 (12.9)","19 (14.2)","11 (26.8)","0.088",""
"ever_Horm = TRUE (%)","7 (5.0)","0 (0.0)","3 (2.2)","5 (12.2)","0.001",""
"ever_Anc = TRUE (%)","83 (58.9)","48 (34.5)","50 (37.3)","21 (51.2)","<0.001",""
"ever_Other = FALSE (%)","141 (100.0)","139 (100.0)","134 (100.0)","41 (100.0)","NA",""
