sample,IFNg_18,WNT,Angiogenesis,Adenosine,Auslander,Chaurio,Chemokine,Cytotoxic,Effector_T_Cell,Glycolysis,gMDSC,Huang_NRS,Hypoxia,IFNg_6,IFNg_Effector_T_Cells,Ipi_neoadjuvant,MHC_I,MHC_II,mMDSC,MYC,Ock_Immune_Sig_Score,Pan,Proliferation,Ras,Roh_Immune_Score,Rooney_Immune_Cytolytic,Stroma,TIP_Hot,TLS,LKB1_loss,buffa.score,MitoScore,SCN,CAlevel
FT-SA109383R,-0.5516421218959081,-0.16493776335864177,1.3008462443165387,0.34304056980785275,-0.2730901361325724,-0.5822510883570461,-0.3657439303836152,-0.4458091241433517,-0.5656641427678798,-0.26404244787855113,-0.38783659050030234,-0.3610023976949223,-0.23182602360998694,-0.4280693135474291,-0.33409918341143197,-0.33950878384912814,-0.522010785353879,-0.13852400117395705,-0.12418982230929179,-0.2275768124998194,-0.08653928659477997,0.4790001242586722,0.3611136463606359,-0.5185869745743336,-0.4015698132595011,-0.564316937237438,-0.05847143622716211,0.20576343886625534,0.17202814471298358,-0.4230218271926122,-10,3.5182873806614694,112.677442197986,Low
FT-SA109386R,1.0284915642371362,-0.9384107397922574,-0.07223208039143512,0.20702613456035607,0.600269564099111,0.5858536257592262,1.098107541772597,1.2598409966209043,1.2574001919378337,0.8273960920991217,0.9683327188778308,1.0827949344904555,1.0640707426599239,1.0678393556637824,1.1610600469170713,0.7406338485340072,0.512852719985056,0.6199468511842298,1.3449128741714103,0.6552362982775275,0.2415750157145473,-0.2626842494134471,0.13436290824386374,0.6277722754188109,0.7829140380926898,1.3603080606562314,-0.23749995180191114,1.3662599655288488,-0.1275888777885311,-0.29065829729925213,36,3.5629105915256125,56.28896406445924,Low
FT-SA109403R,-0.49595491851299445,-0.32009018329594585,-0.391697925219048,-0.12928817703130424,-0.13035664909025368,-0.3336289217955555,-0.5935789790959309,-0.5513920614575606,-0.47274023926317543,0.03807289807330399,-0.7102878084478524,-0.4522553355427592,-0.5622634947027954,-0.6379452467673996,-0.4635720380853736,-0.3698504772917351,-1.0986650886706348,-0.4766510477249607,-0.39529474227160333,0.43694329942095256,-0.36563442195360313,0.5350020856768222,0.7122396436766988,-0.23012164982950853,-0.6844623580789697,-0.6804999103803557,0.036329842802906825,-0.4981361613265625,-0.0036082308891119985,-0.3960396031094538,-4,3.5253718712037174,74.96072532472692,Low
FT-SA109404R,0.2075538983642202,0.3366997239266652,0.07579141820677193,0.15863275818975237,0.3005149678313254,0.4252308965091664,0.07416794684261357,0.2504546220864955,0.06974839908109465,-0.10075391619190212,0.3387792987544737,0.13155315335433365,0.27967138543734976,-0.061843381429481536,-0.007217299299819122,0.33963639027952613,-0.01717737454000919,1.1758459045070204,0.155311876972437,-0.5330754876602599,0.15164304945781143,-0.36748878052514183,-0.7455422899603288,0.5714176062806215,0.41715058051147696,-0.04922279819713231,0.5855815700300895,0.034339725544985406,0.1400443854864003,-0.2724392027034121,-8,3.479036847207744,40.84108570973714,Low
FT-SA109406R,0.2716439381072144,0.3663740138712633,-0.4084091503135106,-0.1216794640546234,-0.176107282242661,0.11955059148786884,-0.0385019527629351,0.1755428904221798,-0.12577967614318733,-0.3957520895930382,-0.7229816053046467,-0.28403006353478116,-0.3260364100850662,0.3096003995550344,0.08906146407898313,0.24644158593453527,0.7239368746724385,0.8696200764806713,-0.20387673673267054,-0.41428316205659677,0.24910614669108108,0.35842739371930793,0.447137960281322,-0.2205671177947944,0.3100882378062604,-0.0678646175166141,-0.8250483430649656,0.19439055109577894,-0.18554801679982602,-0.17970936995495967,2,3.5168554702851362,68.13119707462265,Low
FT-SA109407R,0.6663311210923122,0.34781090109657614,0.6146038961409347,0.46188325363476096,0.4970958368329649,0.4128254429470048,0.3865591051163399,0.6030513163246359,0.5876096905001165,0.27381974320816144,0.5870754647634504,0.3718225511360264,0.5043039682181362,0.5440654036105242,0.49560631340616546,0.37104108881449915,0.1639110613653649,0.40540054112812873,0.6843768062308555,0.054606104230227215,0.2995688097633975,-0.34518768295159846,-0.034133374792244243,0.8941166174594573,0.35018243409505967,0.8273747438151415,-0.1415594335494514,0.41466573088383074,0.3391138509175209,0.2603400524659705,18,3.520022845801339,32.63596906009088,Low
FT-SA109408R,-1.1030827433682069,0.3004406303488147,-1.298691003553997,-0.25409476734694075,-0.6341311693723944,-1.3430662867213696,-1.263566928242597,-1.460678606609817,-1.6603868080151356,0.30841355938338366,-0.16243806502468744,-0.8953985092019503,0.9968779694828925,-0.9923242095807385,-1.557976635325588,-0.9298786755625331,0.6413969293124714,0.719601939480358,-0.6502087563695542,0.3399770147279217,-0.41248170396760153,-0.7909170478378282,-0.5118901423943983,0.8308661397422289,-0.13328101614763255,-1.7019082305859634,-1.880035376240939,-1.1254040342667957,-0.7384492399896049,0.4051516364877459,18,3.5678208299872933,46.17662610733625,Low
FT-SA109409R,0.6803553632131503,0.017441278144157725,-0.52830984513159,-0.1656971875923225,0.14798860056578275,0.634469746843464,0.42847178380973533,0.6423834674405673,0.520563758034716,0.2568411888076914,0.3862251456936324,0.2536662844105144,0.1631398441954725,0.8126333847661741,0.6019006191426213,0.6654278146210676,-0.024012878219907108,0.11008940488474228,0.5786700135439838,0.6430866139188738,0.07618360086446291,0.029980405382610386,0.4881098655763437,-0.30863146115350243,0.3740803963941836,0.7221409759253294,-1.3616191020962263,0.8249910113914802,0.18159000229486677,0.050074306807895555,8,3.5377267568193003,59.800641526332086,High
FT-SA109410R,-1.8035001891348568,-0.9099228879385992,-0.824627674166524,-0.30512287334080657,-1.382907517645543,-1.5615700665588985,-1.3637488166099414,-1.735790662739655,-1.6901246742364209,0.7041705263239827,-1.2669285481354304,-1.7745293272457296,0.25367608588656637,-1.5955999785436226,-1.4839259234113724,-1.10177296920433,-0.7457389902494312,-1.1371154748078545,-1.9350721026525317,1.9841993876629171,-1.0109155965141818,-0.04169434458196299,0.7791782130135981,-0.7581811187151414,-1.3749762912575552,-2.0910361131440127,-1.9960188659863833,-1.0682740137153222,-1.2116833299655663,-0.5337063929579395,28,3.616916961264464,94.34265358525876,High
FT-SA109411R,0.9476446142170172,-0.7070987127511471,0.31078710646359076,0.12843183796152738,1.0193303912676572,0.5228299401484503,0.7940477267197956,0.7508992966309672,0.9340020152200745,0.3309526940366776,0.8351368540571404,0.6850015395183607,0.2880982592928702,1.1218553165822782,0.9085479943475556,0.717376184532765,0.5161682068273679,0.3556131398620263,0.9133843721350164,0.3964291221609036,0.44697607994934063,-0.025550519306502293,0.10980499681893473,0.41170989252397483,0.6592263621925523,0.9948617705104597,0.43309718093787103,0.9160073807516351,0.4722275684908398,-0.4953131463845191,0,3.449514510066518,60.45815858693141,Low
